ID,Latitude,Longitude,Region,Data_date,Alert_Level,Prediction
1010001,28.375,-178.375,hawaii,2022-07-17,0,Nowcast
1010001,28.375,-178.375,hawaii,2022-08-14,2,4 week forecast
1010001,28.375,-178.375,hawaii,2022-09-11,2,8 week forecast
1010001,28.375,-178.375,hawaii,2022-10-09,1,12 week forecast
1010002,28.425,-178.375,hawaii,2022-07-17,0,Nowcast
1010002,28.425,-178.375,hawaii,2022-08-14,0,4 week forecast
1010002,28.425,-178.375,hawaii,2022-09-11,0,8 week forecast
1010002,28.425,-178.375,hawaii,2022-10-09,0,12 week forecast
1010003,28.475,-178.375,hawaii,2022-07-17,0,Nowcast
1010003,28.475,-178.375,hawaii,2022-08-14,2,4 week forecast
1010003,28.475,-178.375,hawaii,2022-09-11,2,8 week forecast
1010003,28.475,-178.375,hawaii,2022-10-09,1,12 week forecast
1010004,28.375,-178.325,hawaii,2022-07-17,0,Nowcast
1010004,28.375,-178.325,hawaii,2022-08-14,0,4 week forecast
1010004,28.375,-178.325,hawaii,2022-09-11,0,8 week forecast
1010004,28.375,-178.325,hawaii,2022-10-09,0,12 week forecast
1010005,28.425,-178.325,hawaii,2022-07-17,0,Nowcast
1010005,28.425,-178.325,hawaii,2022-08-14,0,4 week forecast
1010005,28.425,-178.325,hawaii,2022-09-11,0,8 week forecast
1010005,28.425,-178.325,hawaii,2022-10-09,0,12 week forecast
1010006,28.475,-178.325,hawaii,2022-07-17,0,Nowcast
1010006,28.475,-178.325,hawaii,2022-08-14,2,4 week forecast
1010006,28.475,-178.325,hawaii,2022-09-11,2,8 week forecast
1010006,28.475,-178.325,hawaii,2022-10-09,1,12 week forecast
1010007,28.375,-178.275,hawaii,2022-07-17,0,Nowcast
1010007,28.375,-178.275,hawaii,2022-08-14,2,4 week forecast
1010007,28.375,-178.275,hawaii,2022-09-11,2,8 week forecast
1010007,28.375,-178.275,hawaii,2022-10-09,1,12 week forecast
1010008,28.425,-178.275,hawaii,2022-07-17,0,Nowcast
1010008,28.425,-178.275,hawaii,2022-08-14,0,4 week forecast
1010008,28.425,-178.275,hawaii,2022-09-11,0,8 week forecast
1010008,28.425,-178.275,hawaii,2022-10-09,0,12 week forecast
1010009,28.475,-178.275,hawaii,2022-07-17,0,Nowcast
1010009,28.475,-178.275,hawaii,2022-08-14,2,4 week forecast
1010009,28.475,-178.275,hawaii,2022-09-11,2,8 week forecast
1010009,28.475,-178.275,hawaii,2022-10-09,1,12 week forecast
1010010,28.175,-177.425,hawaii,2022-07-17,4,Nowcast
1010010,28.175,-177.425,hawaii,2022-08-14,4,4 week forecast
1010010,28.175,-177.425,hawaii,2022-09-11,4,8 week forecast
1010010,28.175,-177.425,hawaii,2022-10-09,4,12 week forecast
1010011,28.225,-177.425,hawaii,2022-07-17,4,Nowcast
1010011,28.225,-177.425,hawaii,2022-08-14,0,4 week forecast
1010011,28.225,-177.425,hawaii,2022-09-11,0,8 week forecast
1010011,28.225,-177.425,hawaii,2022-10-09,0,12 week forecast
1010012,28.275,-177.425,hawaii,2022-07-17,4,Nowcast
1010012,28.275,-177.425,hawaii,2022-08-14,4,4 week forecast
1010012,28.275,-177.425,hawaii,2022-09-11,4,8 week forecast
1010012,28.275,-177.425,hawaii,2022-10-09,4,12 week forecast
1010013,28.175,-177.375,hawaii,2022-07-17,4,Nowcast
1010013,28.175,-177.375,hawaii,2022-08-14,4,4 week forecast
1010013,28.175,-177.375,hawaii,2022-09-11,4,8 week forecast
1010013,28.175,-177.375,hawaii,2022-10-09,4,12 week forecast
1010014,28.225,-177.375,hawaii,2022-07-17,4,Nowcast
1010014,28.225,-177.375,hawaii,2022-08-14,3,4 week forecast
1010014,28.225,-177.375,hawaii,2022-09-11,3,8 week forecast
1010014,28.225,-177.375,hawaii,2022-10-09,3,12 week forecast
1010015,28.275,-177.375,hawaii,2022-07-17,4,Nowcast
1010015,28.275,-177.375,hawaii,2022-08-14,3,4 week forecast
1010015,28.275,-177.375,hawaii,2022-09-11,4,8 week forecast
1010015,28.275,-177.375,hawaii,2022-10-09,3,12 week forecast
1010016,28.175,-177.325,hawaii,2022-07-17,4,Nowcast
1010016,28.175,-177.325,hawaii,2022-08-14,4,4 week forecast
1010016,28.175,-177.325,hawaii,2022-09-11,4,8 week forecast
